"","AlarmStart","AlarmEnd","ExecutionAtStart","ModeAtStart","ExecutionAtEnd","ModeAtEnd","AlarmText","AlarmPath","AlarmCount","DurationTotal","DurationModeAuto","DurationModeManual","DurationModeMDI","DurationExecutionReady","DurationExecutionActive","DurationExecutionStopped","IA","SA","RA","AA","IM","SM","RM","AM","ID","SD","RD","AD","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105"
"11","2011-07-05 13:21:28","2011-07-05 13:21:52","READY","MANUAL","STOPPED","MANUAL","CHUCK BARRIER","SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>","2","5.93","0","5.93","0","5.93","0","0",0,0,0,0,0,0,6,0,0,0,0,0,"READY/MANUAL:","3","12.5","NORMAL:","18","75","READY/MANUAL:","3","12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2011-07-07 18:07:20","2011-07-07 18:07:31","READY","MANUAL","READY","MANUAL","CHUCK BARRIER","SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>","1","10.98","0","10.98","0","10.04","0","0.94",0,0,0,0,0,0.930000066757202,10.0699999332428,0,0,0,0,0,"READY/MANUAL:","10.0699999332428","91.55","STOPPED/MANUAL:","0.930000066757202","8.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2011-07-07 20:46:54","2011-07-07 21:31:08","READY","MANUAL","STOPPED","MANUAL","CHUCK BARRIER","SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>","2","9.04","0","9.04","0","9.04","0","0",0,0,0,0,0,0,9,0,0,0,0,0,"READY/MANUAL:","2","0.08","NORMAL:","2645","99.66","READY/MANUAL:","7","0.26","STOPPED/MANUAL:","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2011-07-08 18:49:43","2011-07-08 18:49:48","READY","MANUAL","STOPPED","MANUAL","CHUCK BARRIER","SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>","1","4.94","0","4.94","0","4.94","0","0",0,0,0,0,0,0,5,0,0,0,0,0,"READY/MANUAL:","5","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2011-07-08 20:02:43","2011-07-08 20:02:58","READY","MANUAL","READY","MANUAL","CHUCK BARRIER","SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>","1","15.01","0","15.01","0","14.97","0","0.04",0,0,0,0,0,0,15,0,0,0,0,0,"READY/MANUAL:","15","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2011-07-09 16:12:30","2011-07-09 16:12:33","READY","MANUAL","READY","MANUAL","CHUCK BARRIER","SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>","1","2.94","0","2.94","0","2.94","0","0",0,0,0,0,0,0,3,0,0,0,0,0,"READY/MANUAL:","3","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2011-07-10 19:49:07","2011-07-10 19:49:19","READY","MANUAL","STOPPED","MANUAL","CHUCK BARRIER","SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>","3","9.03","0","9.03","0","9.03","0","0",0,0,0,0,0,0.900000095367432,8.09999990463257,0,0,0,0,0,"READY/MANUAL:","2","16.67","NORMAL:","2","16.67","READY/MANUAL:","4.09999990463257","34.17","STOPPED/MANUAL:","0.900000095367432","7.5","NORMAL:","1","8.33","READY/MANUAL:","2","16.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2011-07-10 23:19:10","2011-07-10 23:19:29","READY","MANUAL","STOPPED","MANUAL","CHUCK BARRIER","SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>","1","18.94","0","18.94","0","18.94","0","0",0,0,0,0,0,0,19,0,0,0,0,0,"READY/MANUAL:","19","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2011-07-12 13:04:03","2011-07-12 13:04:07","READY","MANUAL","STOPPED","MANUAL","CHUCK BARRIER","SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>","1","4.09","0","4.09","0","4.09","0","0",0,0,0,0,0,0,4,0,0,0,0,0,"READY/MANUAL:","4","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2011-07-13 13:21:04","2011-07-13 13:22:10","READY","MANUAL","STOPPED","MANUAL","CHUCK BARRIER","SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>","1","65.97","0","65.97","0","65.97","0","0",0,0,0,0,0,0,66,0,0,0,0,0,"READY/MANUAL:","66","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
